

biggs fits for each element
 PHOTO ELECTRIC COEFFICIENTS NOS.1 THROUGH 100 AS OF REPORT SC-RR-870070        
  UPDATED FEBRUARY 1987
 16  6   100.  500.    4.991E-01    6.338E-02 -3.443E+01  4.058E+04  2.233E+05
 16  7   500. 100000.  4.991E-01    1.857E-02  2.398E+01  6.706E+03  8.358E+06
 17  1  .01    .0436   4.795E-01    7.808E+02  0.         0.         0.
 17  2  .0436   .200   4.795E-01   -6.163E+01  3.934E+02 -2.563E+01  4.396E-01
 17  3  .200   2.824   4.795E-01   -2.147E+02  1.269E+03  2.099E+03 -3.705E+02  
 17  4  2.824   20.    4.795E-01   -1.192E+01  3.253E+02  5.927E+04 -5.980E+04  
 17  5   20.   100.    4.795E-01    8.789E-01 -2.920E+02  6.860E+04 -1.018E+05  
 17  6   100.   500.   4.795E-01    6.556E-02 -2.175E+01  3.895E+04  9.737E+05  
 17  7   500.  100000. 4.795E-01    2.236E-02  2.884E+01  9.717E+03  9.001E+06
 18  1  .01    .0302   4.506E-01    1.275E+04  0.         0.         0.
 18  2  .0302  .245    4.506E-01   -1.674E+03  1.047E+03 -9.010E+01  2.166E+00  
 18  3  .245   3.203   4.506E-01   -2.244E+02  1.388E+03  2.571E+03 -5.113E+02
 18  4  3.203   20.    4.506E-01   -1.446E+01  4.359E+02  6.578E+04 -7.284E+04  
 18  5  20.    100.    4.506E-01    8.786E-01 -3.001E+02  7.682E+04 -1.219E+05  
 18  6  100.   500.    4.506E-01    6.779E-02 -2.695E+01  5.069E+04  5.281E+05
 18  7  500.  100000.  4.506E-01    2.598E-02  3.454E+01  1.059E+04  1.068E+07
 19  1  .01   .0305    4.860E-01    3.111E+03  0.         0.         0.  
 19  2  .0305  .294    4.860E-01    6.162E+01  5.770E+02 -4.497E+01  9.218E-01
 19  3  .294   3.607   4.860E-01   -3.601E+02  2.287E+03  2.513E+03 -4.591E+02
 19  4   3.607  20.    4.860E-01   -2.113E+01  7.161E+02  8.183E+04 -9.859E+04  
 19  5   20.   100.    4.860E-01    1.048E+00 -3.644E+02  9.844E+04 -1.760E+05  
 19  6   100.  500.    4.860E-01    1.040E-01 -3.553E+01  6.096E+04  1.226E+06  
 19  7  500.  100000.  4.860E-01    3.453E-02  4.621E+01  1.669E+04  1.238E+07
 20  1  .01   .0305    4.990E-01    3.029E+03  0.         0.         0.
 20  2  .0305 .346     4.990E-01    3.816E+02  5.887E+02 -4.888E+01  1.019E+00
 20  3  .346  4.037    4.990E-01   -1.054E+02  1.120E+03  5.115E+03 -1.325E+03 
 20  4  4.037  20.     4.990E-01   -3.015E+01  1.141E+03  9.459E+04 -1.195E+05  
 20  5  20.    100.    4.990E-01    1.408E+00 -4.553E+02  1.206E+05 -2.531E+05  
 20  6  100.   500.    4.990E-01    1.204E-01 -5.356E+01  8.779E+04  6.252E+05
 20  7  500.  100000.  4.990E-01    4.178E-02  5.761E+01  1.377E+04  2.019E+07 
 21  1  .01    .032    4.671E-01    1.121E+03  7.413E+00 -3.020E-01  1.510E-03
 21  2  .032   .402    4.671E-01    2.970E+02  6.359E+02 -4.935E+01  1.044E+00
 21  3  .402   4.491   4.671E-01   -1.507E+02  1.501E+03  5.139E+03 -1.442E+03  
 21  4  4.491  100.    4.671E-01    4.615E-01 -2.614E+02  1.217E+05 -2.057E+05  
 21  5  100.   500.    4.671E-01    1.509E-01 -6.913E+01  9.253E+04  1.096E+06  
 21  6  500.  100000.  4.671E-01    4.833E-02  6.881E+01  2.762E+04  1.290E+07
 22  1  .01    .1      4.595E-01    3.596E+03 -6.877E+01  9.609E-01 -4.754E-03
 22  2  .1     .456    4.595E-01   -3.132E+02  1.024E+03 -1.008E+02  3.096E+00
 22  3   .456  4.966   4.595E-01   -4.626E+01  8.678E+02  7.308E+03 -2.383E+03  
 22  4  4.966  100.    4.595E-01    2.074E-01 -2.292E+02  1.371E+05 -2.489E+05  
 22  5  100.   500.    4.595E-01    1.972E-01 -9.550E+01  1.106E+05  1.067E+06  
 22  6  500.  100000.  4.595E-01    5.606E-02  8.140E+01  3.106E+04  1.567E+07
 23  1   .01   .12     4.515E-01    4.117E+03 -1.054E+02  1.531E+00 -7.725E-03
 23  2   .12   .513    4.515E-01   -4.052E+02  1.169E+03 -1.212E+02  4.148E+00
 23  3   .513  .628    4.515E-01    9.968E+03 -1.796E+03 -1.204E+03  1.481E+03
 23  4   .628  5.465   4.515E-01   -1.429E+02  1.632E+03  7.203E+03 -2.283E+03 
 23  5  5.465  100.    4.515E-01    3.940E-01 -2.733E+02  1.564E+05 -3.184E+05  
 23  6  100.   500.    4.515E-01    2.007E-01 -8.911E+01  1.254E+05  1.137E+06  
 23  7  500.  100000.  4.515E-01    6.449E-02  9.483E+01  3.584E+04  1.821E+07
 24  1   .01   .106    4.616E-01    5.069E+03 -7.968E+01  8.395E-01 -4.494E-03
 24  2   .106  .575    4.616E-01   -4.404E+02  1.301E+03 -1.166E+02  3.481E+00 
 24  3   .575 5.989    4.616E-01    3.932E+01  1.537E+02  1.228E+04 -4.984E+03  
 24  4  5.989  100.    4.616E-01    2.740E-01 -2.665E+02  1.818E+05 -3.997E+05  
 24  5  100.  500.     4.616E-01    2.727E-01 -1.288E+02  1.543E+05  9.755E+05  
 24  6  500.  100000.  4.616E-01    7.660E-02  1.142E+02  4.290E+04  2.161E+07
 25  1  .01    .1      4.551E-01    5.692E+03 -1.278E+02  1.150E+00 -3.774E-03
 25  2   .1    .640    4.551E-01   -4.901E+02  1.450E+03 -1.365E+02  4.134E+00
 25  3  .640  6.539    4.551E-01   -3.065E+01  7.209E+02  1.275E+04 -5.462E+03 
 25  4  6.539  100.    4.551E-01    2.930E-01 -2.703E+02  2.034E+05 -4.886E+05  
 25  5   100.  500.    4.551E-01    2.940E-01 -1.342E+02  1.761E+05  8.747E+05  
 25  6   500. 100000.  4.551E-01    8.736E-02  1.322E+02  4.952E+04  2.436E+07
 26  1  .01    .024    4.656E-01   -3.328E+03  2.590E+02 -3.812E+00  1.679E-02 
 26  2  .024   .12     4.656E-01    4.132E+03  3.963E+02 -2.505E+01  3.437E-01
 26  3  .12    .708    4.656E-01   -2.683E+01  1.250E+03 -7.321E+01  1.137E+00
 26  4   .708  7.112   4.656E-01   -8.128E+00  6.550E+02  1.511E+04 -7.079E+03  
 26  5   7.112 100.    4.656E-01    2.151E-01 -2.680E+02  2.341E+05 -6.063E+05  
 26  6  100.   500.    4.656E-01    3.511E-01 -1.633E+02  2.090E+05  7.131E+05  
 26  7  500.  100000.  4.656E-01    1.026E-01  1.572E+02  5.901E+04  2.806E+07
 27  1   .01  .0308    4.581E-01    2.074E+03  0.         0.         0.
 27  2  .0308 .093     4.581E-01    6.932E+03 -6.765E-02 -9.182E+00  1.413E-01
