#********************  Core Scattering Data  ********************
#******************  B. Watts & H. Ade et al.  ******************
#
#Acronym:	P3HT
#Name:		Regioregular Poly(3-hexylthiophene-2,5-diyl)
#Formula:	C10SH14
#Formula Mass:	166.284160
#Reference:	J. Chem. Phys. 134, 024702 (2011); doi:10.1063/1.3506636
#Source:	Merck KGaA
#Acquisition:	TEY (drain current) NEXAFS
#Abs. Edge (Resolution):	C-K (50 meV)
#Incidence Angle:	50°
#Write Date:	2011-02-22
#----------------------------------------------------------------
#Energy (eV)	f1	f2
#----------------------------------------------------------------
284.200000	2.865465	12.493790
284.212000	2.533807	12.599330
284.225000	2.197169	12.706060
284.238000	1.884170	12.879820
284.250000	1.609070	12.975000
284.262000	1.265556	13.073840
284.275000	0.894425	13.292780
284.288000	0.558844	13.474790
284.300000	0.208470	13.663570
284.313000	-0.148307	13.948720
284.325000	-0.475033	14.176690
284.337000	-0.792145	14.502170
284.350000	-1.096351	14.811690
284.363000	-1.433641	15.161450
284.375000	-1.702814	15.573840
284.387000	-1.890151	15.976360
284.400000	-2.060712	16.376680
284.413000	-2.245811	16.760890
284.425000	-2.421172	17.175670
284.438000	-2.438025	17.710100
284.450000	-2.447829	17.971420
284.462000	-2.470486	18.363440
284.475000	-2.433416	18.641740
284.488000	-2.459649	18.895100
284.500000	-2.506840	19.149340
284.512000	-2.520173	19.429450
284.525000	-2.500567	19.675330
284.538000	-2.496077	19.871990
284.550000	-2.530560	20.020590
284.563000	-2.627661	20.187850
284.575000	-2.701828	20.415640
284.587000	-2.735192	20.579630
284.600000	-2.855965	20.696010
284.613000	-3.040104	20.917330
284.625000	-3.138067	21.163640
284.637000	-3.246428	21.317030
284.650000	-3.431974	21.528100
284.663000	-3.620410	21.778840
284.675000	-3.835063	22.006790
284.688000	-4.061963	22.400800
284.700000	-4.170122	22.764160
284.712000	-4.275209	23.065600
284.725000	-4.450235	23.409850
284.738000	-4.635455	23.863430
284.750000	-4.708972	24.363750
284.762000	-4.685591	24.818820
284.775000	-4.637492	25.259060
284.788000	-4.576333	25.693360
284.800000	-4.501786	26.086160
284.813000	-4.333348	26.535670
284.825000	-4.160812	26.813870
284.837000	-3.986394	27.111560
284.850000	-3.837621	27.302730
284.863000	-3.762538	27.563540
284.875000	-3.605789	27.843470
284.887000	-3.468335	27.970930
284.900000	-3.407565	28.156090
284.913000	-3.308963	28.384920
284.925000	-3.213989	28.517400
284.938000	-3.165666	28.655170
284.950000	-3.137191	28.794380
284.962000	-3.131117	28.909400
284.975000	-3.170098	29.042640
284.988000	-3.244449	29.194760
285.000000	-3.347604	29.352880
285.012000	-3.465109	29.556620
285.025000	-3.604206	29.777480
285.038000	-3.813141	30.019470
285.050000	-4.031479	30.362510
285.063000	-4.230223	30.776720
285.075000	-4.407858	31.202480
285.087000	-4.624993	31.664510
285.100000	-4.786567	32.389770
285.113000	-4.826036	33.062220
285.125000	-4.804085	33.765920
285.137000	-4.787051	34.404570
285.150000	-4.636433	35.391490
285.163000	-4.265311	36.187920
285.175000	-3.874978	36.926860
285.188000	-3.406293	37.637760
285.200000	-2.922142	38.346930
285.212000	-2.329174	39.014350
285.225000	-1.576058	39.696770
285.238000	-0.680556	40.264890
285.250000	0.124193	40.585330
285.262000	0.910487	40.932050
285.275000	1.803312	41.207240
285.288000	2.724791	41.436020
285.300000	3.621426	41.551220
285.313000	4.557869	41.561080
285.325000	5.409792	41.486510
285.337000	6.211985	41.369470
285.350000	7.113704	41.233790
285.363000	7.990431	40.880220
285.375000	8.680022	40.588140
285.387000	9.451347	40.319380
285.400000	10.228090	39.718070
285.413000	10.786610	39.221020
285.425000	11.359330	38.843960
285.438000	12.033910	38.297320
285.450000	12.651960	37.721330
285.462000	13.174100	36.925310
285.475000	13.477520	36.044330
285.488000	13.558010	35.281890
285.500000	13.696000	34.845540
285.512000	14.008620	34.308110
285.525000	14.218930	33.478080
285.538000	14.271490	32.794450
285.550000	14.303220	32.143000
285.563000	14.223570	31.478330
285.575000	14.329670	31.063990
285.587000	14.302480	30.085420
285.600000	13.995030	29.536020
285.613000	13.802210	28.924970
285.625000	13.556600	28.380440
285.637000	13.313750	27.898780
285.650000	12.992540	27.303730
285.663000	12.552580	26.821460
285.675000	12.163320	26.503950
285.688000	11.839240	26.202350
285.700000	11.548290	25.829540
285.712000	11.146370	25.471910
285.725000	10.707780	25.226110
285.738000	10.309040	24.993360
285.750000	9.969804	24.818580
285.762000	9.639782	24.608140
285.775000	9.266225	24.409770
285.788000	8.885194	24.207390
285.800000	8.486071	24.040410
285.813000	8.089894	23.961770
285.825000	7.757896	23.856550
285.837000	7.431497	23.774810
285.850000	7.059112	23.655480
285.863000	6.705186	23.608540
285.875000	6.353894	23.501470
285.887000	6.012196	23.499250
285.900000	5.685239	23.461000
285.940000	4.636270	23.372300
285.980000	3.641174	23.384130
286.020000	2.664978	23.407490
286.060000	1.668614	23.503490
286.100000	0.697341	23.672400
286.140000	-0.231850	23.878270
286.180000	-1.185930	24.066030
286.220000	-2.163800	24.360450
286.260000	-3.127746	24.665200
286.300000	-4.119032	25.029750
286.340000	-5.097272	25.460110
286.380000	-6.061723	25.896990
286.420000	-7.098052	26.323000
286.460000	-8.200225	26.873120
286.500000	-9.301138	27.488510
286.540000	-10.446050	28.145740
286.580000	-11.644220	28.896510
286.620000	-12.947930	29.698720
286.660000	-14.381240	30.736590
286.700000	-15.774750	32.062080
286.740000	-17.132450	33.495480
286.780000	-18.519090	35.204090
286.820000	-19.827630	37.230220
286.860000	-20.930710	39.601490
286.900000	-21.723210	42.209550
286.940000	-22.227650	44.972530
286.980000	-22.337450	47.969910
287.020000	-22.107270	50.921190
287.060000	-21.328820	54.194510
287.100000	-19.904990	57.062200
287.140000	-18.171240	59.622990
287.180000	-15.988300	61.904300
287.220000	-13.733600	63.424010
287.260000	-11.510090	64.792050
287.300000	-9.159228	65.725230
287.340000	-7.049176	66.151130
287.380000	-5.140047	66.476970
287.420000	-3.416808	66.564660
287.460000	-1.980984	66.542330
287.500000	-0.692934	66.676940
287.540000	0.535724	66.719250
287.580000	1.712705	66.911180
287.620000	2.976799	67.015010
287.660000	4.215432	67.036480
287.700000	5.367444	66.913890
287.740000	6.462431	66.892830
287.780000	7.574801	66.741120
287.820000	8.577751	66.590520
287.860000	9.590824	66.495440
287.900000	10.699380	66.379970
287.940000	11.892190	66.084130
287.980000	13.001280	65.574710
288.020000	13.967850	64.993410
288.060000	14.818870	64.343340
288.100000	15.620450	63.690170
288.140000	16.256000	62.822750
288.180000	16.707080	62.104890
288.220000	17.113360	61.347060
288.260000	17.315020	60.545910
288.300000	17.380780	59.946720
288.340000	17.471740	59.440950
288.380000	17.483760	58.905110
288.420000	17.464530	58.551950
288.460000	17.507480	58.206430
288.500000	17.468220	57.814630
288.540000	17.372600	57.587390
288.580000	17.425350	57.469010
288.620000	17.446370	57.100420
288.660000	17.373170	56.952990
288.700000	17.350220	56.782260
288.740000	17.338520	56.654460
288.780000	17.318510	56.487960
288.820000	17.247100	56.377290
288.860000	17.263270	56.359420
288.900000	17.337240	56.179580
288.940000	17.213170	55.987870
288.980000	17.115750	55.985500
289.020000	17.127580	56.025230
289.060000	17.175110	55.885250
289.100000	17.073520	55.787570
289.140000	17.021600	55.814940
289.180000	17.036640	55.799700
289.220000	17.015370	55.697500
289.260000	16.963600	55.673030
289.300000	16.922200	55.604140
289.340000	16.802300	55.536790
289.380000	16.701010	55.576960
289.420000	16.634440	55.581050
289.460000	16.538660	55.566780
289.500000	16.440080	55.622890
289.625000	16.136230	55.664670
289.750000	15.662930	55.849200
289.875000	15.041590	56.176090
290.000000	14.460550	57.020940
290.125000	14.156320	57.839940
290.250000	13.828070	58.716210
290.375000	13.556460	59.851780
290.500000	13.549830	61.143050
290.625000	13.756070	62.362030
290.750000	14.059290	63.553740
290.875000	14.425820	64.722930
291.000000	14.849870	65.944720
291.125000	15.430780	67.261810
291.250000	16.308770	68.561740
291.375000	17.304960	69.551640
291.500000	18.212080	70.438190
291.625000	19.124360	71.382570
291.750000	20.145050	72.302500
291.875000	21.197160	73.131100
292.000000	22.345680	74.025320
292.125000	23.679560	74.779660
292.250000	25.006200	75.299110
292.375000	26.239800	75.768490
292.500000	27.526420	76.298850
292.625000	28.928800	76.707500
292.750000	30.358670	76.973820
292.875000	31.752950	77.113000
293.000000	33.151370	77.201750
293.125000	34.547810	77.167260
293.350000	36.871680	76.710700
293.700000	40.216400	76.137130
294.050000	43.745400	74.573620
294.400000	46.032570	71.672780
294.750000	46.681790	69.420210
295.100000	46.867270	68.099230
295.450000	47.112270	67.437800
